Hospital Name,State,District
COUMINITY HEALTH CENTER UNN,UTTAR PRADESH,SHAMLI
CHC GHUNGHTER,UTTAR PRADESH,BARABANKI
CHC HUZOORPUR,UTTAR PRADESH,BAHRAICH
CHC PARIKSHITGARH,UTTAR PRADESH,MEERUT
CHC Chittaura,UTTAR PRADESH,BAHRAICH
CHC Sirauligauspur,UTTAR PRADESH,BARABANKI
CHC Puarikala,UTTAR PRADESH,VARANASI
CHC TEJWAPUR,UTTAR PRADESH,BAHRAICH
CHC Khudaganj Katra,UTTAR PRADESH,SHAHJAHANPUR
CHC KALAN,UTTAR PRADESH,SHAHJAHANPUR
CHC VINDHYACHAL,UTTAR PRADESH,MIRZAPUR
CHC CHARDA,UTTAR PRADESH,BAHRAICH
CHC AMARIYA,UTTAR PRADESH,PILIBHIT
CHC Dostpur,UTTAR PRADESH,SULTANPUR
CHC KYULADYA,UTTAR PRADESH,BAREILLY
CHC KAMALGANJ,UTTAR PRADESH,FARRUKHABAD
CHC ALAPUR,UTTAR PRADESH,AMBEDKAR NAGAR
Homi Bhabha Cancer Hospital,UTTAR PRADESH,VARANASI
CHC LALGANJ,UTTAR PRADESH,MIRZAPUR
CHC MOTIGARPUR,UTTAR PRADESH,SULTANPUR
CHC Lakhnapur,UTTAR PRADESH,UNNAO
COMMUNITY HEALTH CENTER MARIHAN,UTTAR PRADESH,MIRZAPUR
CHC KHANDASA,UTTAR PRADESH,FAIZABAD
CHC PILANA,UTTAR PRADESH,Bagpat
CHC,UTTAR PRADESH,GAUTAM BUDDHA NAGAR
COMMUNITY HEALTH CENTER JAMALPUR,UTTAR PRADESH,MIRZAPUR
CHC KARHAL,UTTAR PRADESH,MAINPURI
CHC JAGIR,UTTAR PRADESH,MAINPURI
CHC HUSAINGANJ,UTTAR PRADESH,FATEHPUR
COMMUNITY HEALTH CENTER CHHAPRAULI,UTTAR PRADESH,Bagpat
CHC PATAN,UTTAR PRADESH,UNNAO
CHC AGOTA,UTTAR PRADESH,BULANDSHAHR
chc p.p.kamaicha,UTTAR PRADESH,SULTANPUR
CHC KALAKANKAR,UTTAR PRADESH,PRATAPGARH
CHC THANABHAWAN,UTTAR PRADESH,SHAMLI
CHC Bisanda,UTTAR PRADESH,BANDA
CHC Atarra,UTTAR PRADESH,BANDA
CHC MAURANWAN,UTTAR PRADESH,UNNAO
CHC BHAMORA,UTTAR PRADESH,BAREILLY
chc chandaus,UTTAR PRADESH,ALIGARH
CHC BHADAIYAN,UTTAR PRADESH,SULTANPUR
CHC BHALUANI,UTTAR PRADESH,DEORIA
CHC AHIRAULA,UTTAR PRADESH,AZAMGARH
CHC DHANPATGANJ,UTTAR PRADESH,SULTANPUR
CHC SHAMSAAD,UTTAR PRADESH,FARRUKHABAD
CHC RICHHA,UTTAR PRADESH,BAREILLY
CHC jalesar,UTTAR PRADESH,ETAH
CHC KUREBHAR,UTTAR PRADESH,SULTANPUR
CHC KADIPUR,UTTAR PRADESH,SULTANPUR
CHC SULTANGANJ,UTTAR PRADESH,MAINPURI
CHC LAMBHUA,UTTAR PRADESH,SULTANPUR
CHC QUAZIDEVAR GONDA,UTTAR PRADESH,GONDA
CHC MAHESHGANJ,UTTAR PRADESH,PRATAPGARH
CHC GHIROR,UTTAR PRADESH,MAINPURI
CHC LELLAPUR  BAITALPUR,UTTAR PRADESH,DEORIA
CHC BHURWAR BANKATA,UTTAR PRADESH,DEORIA
CHC JASUEE BHATPAR RANI,UTTAR PRADESH,DEORIA
CHC SAWAIJPUR,UTTAR PRADESH,HARDOI
CHC SINDHUWA RAMPUR KARKHANA,UTTAR PRADESH,DEORIA
CHC BHUTA,UTTAR PRADESH,BAREILLY
 CHC KAHLA,UTTAR PRADESH,PRATAPGARH
CHC BARNAHAL,UTTAR PRADESH,MAINPURI
CHC SHERGARH,UTTAR PRADESH,BAREILLY
CHC BHATNI,UTTAR PRADESH,DEORIA
CHC KUCHELA,UTTAR PRADESH,MAINPURI
CHC DHINDUI,UTTAR PRADESH,PRATAPGARH
chc sukhpal nagar,UTTAR PRADESH,PRATAPGARH
community health center ,UTTAR PRADESH,ETAH
CHC NARAYANPUR,UTTAR PRADESH,PRATAPGARH
CHC PRITHVIGANJ,UTTAR PRADESH,PRATAPGARH
dharupur,UTTAR PRADESH,PRATAPGARH
CHC AONLA,UTTAR PRADESH,BAREILLY
GAJRAHI,UTTAR PRADESH,PRATAPGARH
CHC SATAHARIYA,UTTAR PRADESH,JAUNPUR
CHC RANIGANJ AJGARA,UTTAR PRADESH,PRATAPGARH
chc bagwala ,UTTAR PRADESH,ETAH
CHC Badaraon,UTTAR PRADESH,MAU
chc mooratganj,UTTAR PRADESH,KAUSHAMBI
CHC Rajapur,UTTAR PRADESH,CHITRAKOOT
CHC SONDHI,UTTAR PRADESH,JAUNPUR
CHC AMAULI,UTTAR PRADESH,FATEHPUR
CHC SARSAWAN,UTTAR PRADESH,KAUSHAMBI
CHC MEHNAJPUR ,UTTAR PRADESH,AZAMGARH
CHC SUITHAKALA,UTTAR PRADESH,JAUNPUR
CHC Jaspura Banda,UTTAR PRADESH,BANDA
CHC MANDAH,UTTAR PRADESH,PRATAPGARH
CHC MANGAPUR,UTTAR PRADESH,PRATAPGARH
CHC CHHANI,UTTAR PRADESH,HAMIRPUR
CHC SIRKONI,UTTAR PRADESH,JAUNPUR
CHC BASREHAR,UTTAR PRADESH,ETAWAH
CHC Samthar,UTTAR PRADESH,JHANSI
community health center Patara,UTTAR PRADESH,KANPUR NAGAR
chc parwatpur,UTTAR PRADESH,PRATAPGARH
CHC Manihari,UTTAR PRADESH,GHAZIPUR
CHC KAKWAN,UTTAR PRADESH,KANPUR NAGAR
CHC GHAJIPUR,UTTAR PRADESH,FATEHPUR
CHC IMILIYA,UTTAR PRADESH,HAMIRPUR
CHC PARSHURAMPUR,UTTAR PRADESH,AZAMGARH
chc araila,UTTAR PRADESH,PRATAPGARH
CHC HARRIYA,UTTAR PRADESH,AZAMGARH
CHC MANAPUR,UTTAR PRADESH,PRATAPGARH
CHC Haripur Vardaita,UTTAR PRADESH,PRATAPGARH
CHC Chhibramau,UTTAR PRADESH,KANNAUJ
CHC DHATA,UTTAR PRADESH,FATEHPUR
CHC KHAKHRERU,UTTAR PRADESH,FATEHPUR
CHC Baheri,UTTAR PRADESH,BANDA
CHC RAJPUR,UTTAR PRADESH,ETAWAH
CHC KARANJAKALA,UTTAR PRADESH,JAUNPUR
CHC MACHHRA,UTTAR PRADESH,MEERUT
PHC JUNGLE KAURIA,UTTAR PRADESH,GORAKHPUR
CHC Jakhania,UTTAR PRADESH,GHAZIPUR
CHC ROHTA,UTTAR PRADESH,MEERUT
CHC AMBETACHAND,UTTAR PRADESH,SAHARANPUR
CHC Khanpur,UTTAR PRADESH,GHAZIPUR
CHC sakit ,UTTAR PRADESH,ETAH
phc jaithera,UTTAR PRADESH,ETAH
CHC BARUIN,UTTAR PRADESH,GHAZIPUR
chcjaroda&123456,UTTAR PRADESH,SAHARANPUR
phcbhoodbaral,UTTAR PRADESH,MEERUT
CHC SIKHAR,UTTAR PRADESH,MIRZAPUR
CHC SAROORPUR KHURD,UTTAR PRADESH,MEERUT
CHC GADWARA,UTTAR PRADESH,PRATAPGARH
chc rankhandi,UTTAR PRADESH,SAHARANPUR
CHC AMBEHTAPEER,UTTAR PRADESH,SAHARANPUR
CHC HARODA,UTTAR PRADESH,SAHARANPUR
CHC Garotha,UTTAR PRADESH,JHANSI
CHC AURAS,UTTAR PRADESH,UNNAO
CHC Nautanwa,UTTAR PRADESH,MAHARAJGANJ
CHC JIANPUR,UTTAR PRADESH,AZAMGARH
CHC Harakhpur,UTTAR PRADESH,ALLAHABAD
CHC GANGAGHAT,UTTAR PRADESH,UNNAO
CHC MAGRAYAR,UTTAR PRADESH,UNNAO
CHC MITHWAL,UTTAR PRADESH,Siddharthnagar
CHC SALEMPUR,UTTAR PRADESH,KANPUR DEHAT
CHC JIGANI AZAMGARH,UTTAR PRADESH,AZAMGARH
CHC SIKANDERPUR,UTTAR PRADESH,SAHARANPUR
CHC Jankhat,UTTAR PRADESH,KANNAUJ
CHC CHILH,UTTAR PRADESH,MIRZAPUR
CHC GURUSANDI ,UTTAR PRADESH,MIRZAPUR
CHC SHOHRATGARH,UTTAR PRADESH,Siddharthnagar
COMMUNITY HEALTH CENTER AHRAURA,UTTAR PRADESH,MIRZAPUR
chc marhera,UTTAR PRADESH,ETAH
UCHC CHAUKAGHAT,UTTAR PRADESH,VARANASI
UCHC DURGAKUND,UTTAR PRADESH,VARANASI
CHC Sadat,UTTAR PRADESH,GHAZIPUR
CHC Wazeerganj,UTTAR PRADESH,BUDAUN
COMMUNITY HEALTH CENTER VIJAYPUR,UTTAR PRADESH,MIRZAPUR
CHC Vrindaban,UTTAR PRADESH,MATHURA
CHC GAJNER,UTTAR PRADESH,KANPUR DEHAT
PHC Gursahaiganj,UTTAR PRADESH,KANNAUJ
CHC ROHANIYA,UTTAR PRADESH,Raebareli
CHC ASOTHAR,UTTAR PRADESH,FATEHPUR
UCHC Shivpur,UTTAR PRADESH,VARANASI
chc kaptanganj,UTTAR PRADESH,BASTI
CHC Karundikla,UTTAR PRADESH,SULTANPUR
CHC JHINJHANA,UTTAR PRADESH,SHAMLI
CHC JAHANGIRABAD,UTTAR PRADESH,BARABANKI
chc randul,UTTAR PRADESH,SAHARANPUR
CHC CHILKANA,UTTAR PRADESH,SAHARANPUR
CHC JAIDPUR,UTTAR PRADESH,BARABANKI
CHC SAHADATGANJ,UTTAR PRADESH,BARABANKI
CHC SABDALPUR,UTTAR PRADESH,SAHARANPUR
CHC Kaila Devi District Sambhal,UTTAR PRADESH,Sambhal
CHC CHAIL,UTTAR PRADESH,KAUSHAMBI
CHC KOTHI,UTTAR PRADESH,BARABANKI
CHC Mandawar,UTTAR PRADESH,BIJNOR
CHC BHOGWARA,UTTAR PRADESH,CHANDAULI
PPC MUGHALSARAI,UTTAR PRADESH,CHANDAULI
CHC Kannauj (Vinod Dixit Hospital),UTTAR PRADESH,KANNAUJ
CHC JAHANABAD,UTTAR PRADESH,PILIBHIT
CHC MADHOTANDA,UTTAR PRADESH,PILIBHIT
CHC CHARKHARI,UTTAR PRADESH,MAHOBA
CHC Saltoua Gopalpur,UTTAR PRADESH,BASTI
CHC PATEHRA,UTTAR PRADESH,MIRZAPUR
CHC TAMKUHI,UTTAR PRADESH,KUSHI NAGAR
Primary Health Center Kuthond,UTTAR PRADESH,JALAUN
CHC JAITPUR,UTTAR PRADESH,MAHOBA
CHC GOHAND,UTTAR PRADESH,HAMIRPUR
DISTRICT COMBINED HOSPITAL  HAPUR,UTTAR PRADESH,HAPUR
CHC PARTAWAL,UTTAR PRADESH,MAHARAJGANJ
Sir Sunderlal Hospital,UTTAR PRADESH,VARANASI
District Combined Hospital,UTTAR PRADESH,SONBHADRA
CHC SAROJANI NAGAR ,UTTAR PRADESH,LUCKNOW
CHC Ganjmuradabad,UTTAR PRADESH,UNNAO
CHC Fatehpur Chaurasi,UTTAR PRADESH,UNNAO
DR SONE LAL PATEL AUTONOMOUS STATE MEDICAL COLLEGE PRATAPGARH,UTTAR PRADESH,PRATAPGARH
CHC Saroorpur Kalan,UTTAR PRADESH,Bagpat
CHC FALODA,UTTAR PRADESH,MUZAFFARNAGAR
CHC DURGAGANJ,UTTAR PRADESH,BHADOHI
Maharshi Devraha Baba Autonomous State Medical College Deoria,UTTAR PRADESH,DEORIA
CHC KASHI VIDYAPEETH ,UTTAR PRADESH,VARANASI
DR MUKHTAR ANSARI DISTRIC HOSPITAL ATTACHED TO MAHARSHI VISHWAMITRA AUTONOMOUS STATE MEDICAL COLLEGE,UTTAR PRADESH,GHAZIPUR
Swarn Jayanti Samudayik Hospital,UTTAR PRADESH,MATHURA
CHC PADARI,UTTAR PRADESH,MIRZAPUR
CHC BISRAKH,UTTAR PRADESH,GAUTAM BUDDHA NAGAR
chc karari,UTTAR PRADESH,KAUSHAMBI
CHC BARAGAON ,UTTAR PRADESH,VARANASI
CHC Sarsai Nawar Etawah,UTTAR PRADESH,ETAWAH
CHC SAIDPUR GHAZIPUR ,UTTAR PRADESH,GHAZIPUR
CHC GAJOKHAR,UTTAR PRADESH,VARANASI
FRU CHOLAPUR,UTTAR PRADESH,VARANASI
UCHC SARNATH,UTTAR PRADESH,VARANASI
100 Bed Combined Hospital ,UTTAR PRADESH,HARDOI
CHC DOHARIGHAT ,UTTAR PRADESH,MAU
Mahayogi Guru Gorakhnath Samudayik Swathya Kendra,UTTAR PRADESH,MAHARAJGANJ
100 Bed Combined Hospital Atrauli Aligarh,UTTAR PRADESH,ALIGARH
CHC DAULA,UTTAR PRADESH,Bagpat
Primary Health Centre Sidhpura,UTTAR PRADESH,Kasganj
PHC KHAMHARIYA GONDA,UTTAR PRADESH,GONDA
PHC SAIDAPUR GONDA,UTTAR PRADESH,GONDA
PHC HATHIYAGARH GONDA,UTTAR PRADESH,GONDA
PHC Chhitpalgarh,UTTAR PRADESH,PRATAPGARH
PHC Bahadurpur,UTTAR PRADESH,BASTI
Primary Health Centre Amanpur,UTTAR PRADESH,Kasganj
PHC Biyawal,UTTAR PRADESH,CHITRAKOOT
PHC LAKHAHI,UTTAR PRADESH,KHERI
PHC HILAULI ,UTTAR PRADESH,UNNAO
PHC SARDARNAGAR,UTTAR PRADESH,GORAKHPUR
PHC Khorabar,UTTAR PRADESH,GORAKHPUR
chc nighasan,UTTAR PRADESH,KHERI
PHC Walterganj,UTTAR PRADESH,BASTI
PHC MANJHARIYA,UTTAR PRADESH,BASTI
phc pipriya kaptaan,UTTAR PRADESH,KHERI
PHC SIKANDERPUR,UTTAR PRADESH,BASTI
PHC KUDRAHA,UTTAR PRADESH,BASTI
PHC SHAHABGANJ,UTTAR PRADESH,CHANDAULI
phc muda galib,UTTAR PRADESH,KHERI
PHC CHELWANIYA,UTTAR PRADESH,BASTI
chc nighasan,UTTAR PRADESH,KHERI
CHC DHAWARSI ,UTTAR PRADESH,AMROHA
PHC NIYAMATABAD,UTTAR PRADESH,CHANDAULI
PHC RAMPUR,UTTAR PRADESH,BASTI
PHC Khaptiha ,UTTAR PRADESH,CHITRAKOOT
chc nighasan,UTTAR PRADESH,KHERI
chc nighasan,UTTAR PRADESH,KHERI
PHC CHARGAWAN,UTTAR PRADESH,GORAKHPUR
PHC SAKETHU,UTTAR PRADESH,KHERI
PHC JAYRAMPUR ,UTTAR PRADESH,BHADOHI
PHC BILBAI,UTTAR PRADESH,MAHOBA
U.P.H.C. GOVINDNAGAR,UTTAR PRADESH,LALITPUR
U.P.H.C. NEHRUNAGAR,UTTAR PRADESH,LALITPUR
PHC SHARIF NAGAR,UTTAR PRADESH,MORADABAD
PHC Sardhua,UTTAR PRADESH,CHITRAKOOT
PHCsagrabhanpurbasti,UTTAR PRADESH,BASTI
PHC Paida,UTTAR PRADESH,BASTI
PHC Orwara,UTTAR PRADESH,BASTI
PHC HARIHARPUR,UTTAR PRADESH,BHADOHI
Phc Uruwa,UTTAR PRADESH,GORAKHPUR
Phc Babhnan ,UTTAR PRADESH,BASTI
PHC KAURIRAM,UTTAR PRADESH,GORAKHPUR
PHC KARIYAON,UTTAR PRADESH,BHADOHI
PHC MAHJUDA,UTTAR PRADESH,BHADOHI
PHC DIHUA KALA,UTTAR PRADESH,KHERI
CHC MAIDHI,UTTAR PRADESH,CHANDAULI
PHC SISIYA KALA,UTTAR PRADESH,KHERI
PHC VISHUNPUR BAIRIYA94,UTTAR PRADESH,GONDA
PHC SUMERPUR,UTTAR PRADESH,HAMIRPUR
PHC RANGEETGANJ,UTTAR PRADESH,KHERI
PHC KAKARAHA ,UTTAR PRADESH,KHERI
pch churaipurwa,UTTAR PRADESH,KHERI
phc kaimhara,UTTAR PRADESH,KHERI
District Combined Hospital Shamli,UTTAR PRADESH,SHAMLI
PHC JAAM,UTTAR PRADESH,BAREILLY
UPHC BUDHANA,UTTAR PRADESH,MUZAFFARNAGAR
PHCDURGAGANJ,UTTAR PRADESH,BHADOHI
Phc saltuwa ,UTTAR PRADESH,BASTI
PHC CHANDAULI ,UTTAR PRADESH,CHANDAULI
CHC CHANDAN CHAUKI,UTTAR PRADESH,KHERI
PHC DUMARI,UTTAR PRADESH,BASTI
PHC Bankati,UTTAR PRADESH,BASTI
PHC BARAHANI ,UTTAR PRADESH,CHANDAULI
PHC Mugaraha,UTTAR PRADESH,BASTI
PHC Banpur,UTTAR PRADESH,BASTI
PHC Dayanagar,UTTAR PRADESH,BASTI
CHC Vishungarh,UTTAR PRADESH,KANNAUJ
Phc khorihyia,UTTAR PRADESH,BASTI
PHC DEOMAI,UTTAR PRADESH,FATEHPUR
PHC PARSA KUTUB,UTTAR PRADESH,BASTI
PHC CHAHANIYA,UTTAR PRADESH,CHANDAULI
Phc Bizalpur ,UTTAR PRADESH,BASTI
PHC KARMAHIYA,UTTAR PRADESH,BASTI
PHC CHAKIA,UTTAR PRADESH,CHANDAULI
PHC Bandipur ,UTTAR PRADESH,AMBEDKAR NAGAR
PHC CHILMA,UTTAR PRADESH,BASTI
PHC EKMA,UTTAR PRADESH,BASTI
CHC Shyodha,UTTAR PRADESH,BANDA
PHC CHIRAIGAO,UTTAR PRADESH,VARANASI
PHC PAKDI CHANDA,UTTAR PRADESH,BASTI
PHC JAGDEESHPUR,UTTAR PRADESH,BASTI
PHC MAKARAHI,UTTAR PRADESH,AMBEDKAR NAGAR
Phc Mushar,UTTAR PRADESH,BASTI
PHC MADERMAU,UTTAR PRADESH,AMBEDKAR NAGAR
veshsarganj,UTTAR PRADESH,BASTI
PHC LAKHANIPATTI,UTTAR PRADESH,AMBEDKAR NAGAR
PHC NARIYANW,UTTAR PRADESH,AMBEDKAR NAGAR
PHC TENDUWAIKALA,UTTAR PRADESH,AMBEDKAR NAGAR
PHC Bhaunri,UTTAR PRADESH,CHITRAKOOT
100 BED COMBINED HOSPITAL KUMARGANJ AYODHYA,UTTAR PRADESH,FAIZABAD
PHC BLOCK RAMNAGAR,UTTAR PRADESH,AMBEDKAR NAGAR
PHCAAMATINICH,UTTAR PRADESH,BASTI
PHC DUBAULIYA,UTTAR PRADESH,BASTI
CHC Khajurgawn,UTTAR PRADESH,Raebareli
PHC HALUWA,UTTAR PRADESH,BASTI
phc hariharpur rani,UTTAR PRADESH,Shrawasti
PHC HARPUR,UTTAR PRADESH,GORAKHPUR
phc karahiya bazar,UTTAR PRADESH,Raebareli
PHC DEVOGAON,UTTAR PRADESH,Raebareli
Phc satav,UTTAR PRADESH,Raebareli
Phc tejgaon,UTTAR PRADESH,Raebareli
PHC Bhuemau,UTTAR PRADESH,Raebareli
phc matka,UTTAR PRADESH,Raebareli
PHC ARIYOUNA,UTTAR PRADESH,AMBEDKAR NAGAR
PHC RAUTAPUR,UTTAR PRADESH,Raebareli
PHC HARDITIKAR,UTTAR PRADESH,Raebareli
PHC Bhadokhar,UTTAR PRADESH,Raebareli
phc khairahani pahadgarh,UTTAR PRADESH,Raebareli
Nerthuwa,UTTAR PRADESH,Raebareli
PHC MISRAKHEDA,UTTAR PRADESH,Raebareli
PHC Hardoi,UTTAR PRADESH,Raebareli
PHC Sudauali,UTTAR PRADESH,Raebareli
PHC MANDHANA,UTTAR PRADESH,KANPUR NAGAR
PHC Senhgo,UTTAR PRADESH,Raebareli
PHC RAJAPUR SIWAN,UTTAR PRADESH,Raebareli
PHC Betaura,UTTAR PRADESH,Raebareli
PHC Parsadepur,UTTAR PRADESH,Raebareli
PHC SEMARI,UTTAR PRADESH,Raebareli
PHC KARELI,UTTAR PRADESH,BAREILLY
PHC JAMUNI PUR,UTTAR PRADESH,AMBEDKAR NAGAR
PRIMERY HEALTH CENTER TARIPATHAKPUR CHAUBEYPUR KANPUR ,UTTAR PRADESH,KANPUR NAGAR
PHC Manjhawan ,UTTAR PRADESH,KANPUR NAGAR
PHC SANDINAGIN,UTTAR PRADESH,Raebareli
APHC Meharban Singh Ka Purwa ,UTTAR PRADESH,KANPUR NAGAR
PHC Hardaspur,UTTAR PRADESH,Raebareli
PHC REYUNA ,UTTAR PRADESH,KANPUR NAGAR
PHC DEHELI,UTTAR PRADESH,Raebareli
phc kasba badlu,UTTAR PRADESH,Raebareli
phc bhojpur,UTTAR PRADESH,Raebareli
PHC EKAUNI,UTTAR PRADESH,Raebareli
PHC Madhukerpur,UTTAR PRADESH,Raebareli
PHC Sahjaura,UTTAR PRADESH,Raebareli
PHC Kathagar,UTTAR PRADESH,Raebareli
PRIMARY HEALTH CENTRE MOORATGANJ,UTTAR PRADESH,KAUSHAMBI
50 bedded combined Hospital Kithore,UTTAR PRADESH,MEERUT
PHC  Arkha,UTTAR PRADESH,Raebareli
PHC  Babuganj,UTTAR PRADESH,Raebareli
PHC  Prahladpur,UTTAR PRADESH,Raebareli
PHC Kisundaspur,UTTAR PRADESH,Raebareli
primery health center bansathi chaubeypur ,UTTAR PRADESH,KANPUR NAGAR
PHC Doodhwan,UTTAR PRADESH,Raebareli
PHC Kurha,UTTAR PRADESH,Raebareli
PHC DRIGPALGANJ,UTTAR PRADESH,Raebareli
PHC Ghurauna,UTTAR PRADESH,Raebareli
PHC USPAR,UTTAR PRADESH,MATHURA
PHC Khagipur Sadwa,UTTAR PRADESH,Raebareli
PHC PINDRA,UTTAR PRADESH,VARANASI
PHC RAMGANJ,UTTAR PRADESH,Raebareli
PHC SEWAPUR,UTTAR PRADESH,VARANASI
PHC Jalalpur Dhai,UTTAR PRADESH,Raebareli
PHC Rehawan,UTTAR PRADESH,Raebareli
PHC KAMAR,UTTAR PRADESH,MATHURA
PHC NEEMGAON,UTTAR PRADESH,MATHURA
PHC KARAHARI,UTTAR PRADESH,MATHURA
PHC Rustampur,UTTAR PRADESH,Raebareli
PHC Rasulpur Dharawan,UTTAR PRADESH,Raebareli
PHC Pashimgaon,UTTAR PRADESH,Raebareli
Govindpur Madha,UTTAR PRADESH,Raebareli
PHC Dighaura,UTTAR PRADESH,Raebareli
PHC BAAD,UTTAR PRADESH,MATHURA
PHC VRINDAVAN,UTTAR PRADESH,MATHURA
PHC HARaHUA,UTTAR PRADESH,VARANASI
primary health centre shergarh,UTTAR PRADESH,MATHURA
CHC PHARDHAN ,UTTAR PRADESH,KHERI
CHC PHARDHAN,UTTAR PRADESH,KHERI
PHC Aihar,UTTAR PRADESH,Raebareli
phcsancholi,UTTAR PRADESH,MATHURA
phcnandgaon,UTTAR PRADESH,MATHURA
PHC PURA,UTTAR PRADESH,KANPUR NAGAR
PHC Makanpur,UTTAR PRADESH,KANPUR NAGAR
PHC Ambara Pashchim,UTTAR PRADESH,Raebareli
PHC Nanamau,UTTAR PRADESH,KANPUR NAGAR
PHC Bhairomishra,UTTAR PRADESH,Raebareli
PHC Jagatpurbhitchakura,UTTAR PRADESH,Raebareli
PHC Behatakala,UTTAR PRADESH,Raebareli
PHC KATHARA ,UTTAR PRADESH,KANPUR NAGAR
phc pachawar,UTTAR PRADESH,MATHURA
Primary Health Centre Paigaon,UTTAR PRADESH,MATHURA
PHC NAUGAON,UTTAR PRADESH,MATHURA
Urban PHC ,UTTAR PRADESH,CHITRAKOOT
PHC surir,UTTAR PRADESH,MATHURA
PHC MITTHAULI,UTTAR PRADESH,MATHURA
NPHC Badagaon ,UTTAR PRADESH,BAREILLY
CHC PHARDHAN ,UTTAR PRADESH,KHERI
CHC PHARDHAN ,UTTAR PRADESH,KHERI
phc harna,UTTAR PRADESH,KHERI
50 BEDED HOSPITAL SUVANSHA,UTTAR PRADESH,PRATAPGARH
Belghat ,UTTAR PRADESH,BASTI
PHC PURAMAHADEV,UTTAR PRADESH,Bagpat
PHC AMINAGAR SARAY,UTTAR PRADESH,Bagpat
UPHC Gorabazar,UTTAR PRADESH,Raebareli
UPHC Dewanandpur,UTTAR PRADESH,Raebareli
UPHC Kilabazar,UTTAR PRADESH,Raebareli
PHC HARDI,UTTAR PRADESH,BASTI
PHC BERI,UTTAR PRADESH,MATHURA
PHC OAL,UTTAR PRADESH,MATHURA
PHC Chhiriya Salempur,UTTAR PRADESH,JALAUN
PHC PINDARI,UTTAR PRADESH,JALAUN
PHC Myasur Ganjdundwara,UTTAR PRADESH,Kasganj
PHC DANOKUIYA,UTTAR PRADESH,Sant Kabir Nagar
Primary Health Centre Baharawati Khas,UTTAR PRADESH,AGRA
Phc Mehdupar ,UTTAR PRADESH,Sant Kabir Nagar
PHC Ramwapur Sarkari,UTTAR PRADESH,Sant Kabir Nagar
PHC DUDHARA,UTTAR PRADESH,Sant Kabir Nagar
PHC Harraiya Mushahara,UTTAR PRADESH,Sant Kabir Nagar
phc budha kala,UTTAR PRADESH,Sant Kabir Nagar
INDAULI,UTTAR PRADESH,BASTI
PHC RUNKATA,UTTAR PRADESH,AGRA
phc barhan,UTTAR PRADESH,AGRA
phc chawali,UTTAR PRADESH,AGRA
Primary Health Centre Doora,UTTAR PRADESH,AGRA
phc aharan,UTTAR PRADESH,AGRA
CHC GOLA,UTTAR PRADESH,KHERI
CHC GOLA,UTTAR PRADESH,KHERI
CHC GOLA,UTTAR PRADESH,KHERI
PHC REWTA,UTTAR PRADESH,Sant Kabir Nagar
PHC HARIHARPUR,UTTAR PRADESH,Sant Kabir Nagar
PHC SIKTAHA,UTTAR PRADESH,Sant Kabir Nagar
PHC DEOKALI,UTTAR PRADESH,Sant Kabir Nagar
PHC BARAUR,UTTAR PRADESH,KANPUR DEHAT
PHC ROSHYA,UTTAR PRADESH,Sant Kabir Nagar
PHC AURADAR,UTTAR PRADESH,Sant Kabir Nagar
PHC JAGDISHPUR,UTTAR PRADESH,Sant Kabir Nagar
PHC DHANGHATA,UTTAR PRADESH,Sant Kabir Nagar
PHC Sandhan,UTTAR PRADESH,AGRA
PHC HANSELA,UTTAR PRADESH,AGRA
phc aratara,UTTAR PRADESH,HAMIRPUR
PHC Mustafabad,UTTAR PRADESH,KHERI
Primary Health Centre Babai,UTTAR PRADESH,JALAUN
PHC JAY NAGAR,UTTAR PRADESH,AGRA
PHC KALAULIJAR,UTTAR PRADESH,HAMIRPUR
PHC PAUTHIYA,UTTAR PRADESH,HAMIRPUR
phcchandapurpadri,UTTAR PRADESH,KHERI
PHC Issanagar,UTTAR PRADESH,KHERI
PHC MAUHAR,UTTAR PRADESH,HAMIRPUR
UPHC Banarsidas Auraiya,UTTAR PRADESH,AURAIYA
Phc majhgai,UTTAR PRADESH,KHERI
UPHC Ajitnagar,UTTAR PRADESH,PRATAPGARH
PHC RAIPUR MUZAFTA,UTTAR PRADESH,ALIGARH
PHC ASOTHAR,UTTAR PRADESH,FATEHPUR
phc trikouliya,UTTAR PRADESH,KHERI
PHC Itkhari,UTTAR PRADESH,CHITRAKOOT
phc gaurifanta,UTTAR PRADESH,KHERI
phc sonaripur,UTTAR PRADESH,KHERI
PHC BAHUA,UTTAR PRADESH,FATEHPUR
PHC Sondhemau,UTTAR PRADESH,AURAIYA
phc khajuriya,UTTAR PRADESH,KHERI
PHC Phaphund,UTTAR PRADESH,AURAIYA
PHC BHITAURA,UTTAR PRADESH,FATEHPUR
chc rura,UTTAR PRADESH,KANPUR DEHAT
PHC MIAON,UTTAR PRADESH,BUDAUN
CHC SAIDPUR,UTTAR PRADESH,BUDAUN
PHC Lakhun,UTTAR PRADESH,KHERI
CHC KAKRALA,UTTAR PRADESH,BUDAUN
Nphc faiznagar ,UTTAR PRADESH,BAREILLY
PHC VIJAIPUR,UTTAR PRADESH,FATEHPUR
UPHC SEOHARA,UTTAR PRADESH,BIJNOR
PHC ANANDPUR,UTTAR PRADESH,BAREILLY
CHC Gopala,UTTAR PRADESH,MAHARAJGANJ
CHC Sandi ,UTTAR PRADESH,HARDOI
PHC Khanpur,UTTAR PRADESH,AURAIYA
